
          price         sqft       bedrms        baths

 1        199,9         1065            3         1,75
 2        228,0         1254            3         2,00
 3        235,0         1300            3         2,00
 4        285,0         1577            4         2,50
 5        239,0         1600            3         2,00
 6        293,0         1750            4         2,00
 7        285,0         1800            4         2,75
 8        365,0         1870            4         2,00
 9        295,0         1935            4         2,50
10        290,0         1948            4         2,00
11        385,0         2254            4         3,00
12        505,0         2600            3         2,50
13        425,0         2800            4         3,00
14        415,0         3000            4         3,00

