x	 y	 yhat	 ehat	 ybar	 ebar	 eSEC
47.00	 130.83	 130.61	 0.22	 133.37	 -2.54	 -2.76	
52.00	 130.46	 131.22	 -0.76	 133.37	 -2.91	 -2.15	
57.00	 133.84	 131.83	 2.00	 133.37	 0.47	 -1.53	
62.00	 131.58	 132.45	 -0.87	 133.37	 -1.79	 -0.92	
67.00	 131.95	 133.06	 -1.11	 133.37	 -1.42	 -0.31	
72.00	 133.63	 133.67	 -0.04	 133.37	 0.26	 0.31	
77.00	 133.30	 134.29	 -0.99	 133.37	 -0.07	 0.92	
82.00	 136.27	 134.90	 1.37	 133.37	 2.90	 1.53	
87.00	 136.71	 135.51	 1.20	 133.37	 3.35	 2.15	
92.00	 135.10	 136.13	 -1.03	 133.37	 1.73	 2.76	
